year,state,county_name,candidate,candidatevotes,rn
2000,SOUTH CAROLINA,ABBEVILLE,GEORGE W. BUSH,4450,1
2000,SOUTH CAROLINA,ABBEVILLE,AL GORE,3766,2
2004,SOUTH CAROLINA,ABBEVILLE,GEORGE W. BUSH,5436,1
2004,SOUTH CAROLINA,ABBEVILLE,JOHN KERRY,4389,2
2008,SOUTH CAROLINA,ABBEVILLE,JOHN MCCAIN,6264,1
2008,SOUTH CAROLINA,ABBEVILLE,BARACK OBAMA,4593,2
2012,SOUTH CAROLINA,ABBEVILLE,MITT ROMNEY,5981,1
2012,SOUTH CAROLINA,ABBEVILLE,BARACK OBAMA,4543,2
2016,SOUTH CAROLINA,ABBEVILLE,DONALD TRUMP,6763,1
2016,SOUTH CAROLINA,ABBEVILLE,HILLARY CLINTON,3741,2
2020,SOUTH CAROLINA,ABBEVILLE,DONALD J TRUMP,4306,1
2020,SOUTH CAROLINA,ABBEVILLE,DONALD J TRUMP,3320,2
2000,LOUISIANA,ACADIA,GEORGE W. BUSH,13814,1
2000,LOUISIANA,ACADIA,AL GORE,8892,2
2004,LOUISIANA,ACADIA,GEORGE W. BUSH,16083,1
2004,LOUISIANA,ACADIA,JOHN KERRY,8937,2
2008,LOUISIANA,ACADIA,JOHN MCCAIN,19228,1
2008,LOUISIANA,ACADIA,BARACK OBAMA,7028,2
2012,LOUISIANA,ACADIA,MITT ROMNEY,19931,1
2012,LOUISIANA,ACADIA,BARACK OBAMA,6560,2
2016,LOUISIANA,ACADIA,DONALD TRUMP,21162,1
2016,LOUISIANA,ACADIA,HILLARY CLINTON,5638,2
2020,LOUISIANA,ACADIA,DONALD J TRUMP,22596,1
2020,LOUISIANA,ACADIA,JOSEPH R BIDEN JR,5443,2
2000,VIRGINIA,ACCOMACK,GEORGE W. BUSH,6352,1
2000,VIRGINIA,ACCOMACK,AL GORE,5092,2
2004,VIRGINIA,ACCOMACK,GEORGE W. BUSH,7726,1
2004,VIRGINIA,ACCOMACK,JOHN KERRY,5518,2
2008,VIRGINIA,ACCOMACK,JOHN MCCAIN,7833,1
2008,VIRGINIA,ACCOMACK,BARACK OBAMA,7607,2
2012,VIRGINIA,ACCOMACK,MITT ROMNEY,8213,1
2012,VIRGINIA,ACCOMACK,BARACK OBAMA,7655,2
2016,VIRGINIA,ACCOMACK,DONALD TRUMP,8583,1
2016,VIRGINIA,ACCOMACK,HILLARY CLINTON,6740,2
2020,VIRGINIA,ACCOMACK,DONALD J TRUMP,6078,1
2020,VIRGINIA,ACCOMACK,JOSEPH R BIDEN JR,5495,2
2000,IDAHO,ADA,GEORGE W. BUSH,75050,1
2000,IDAHO,ADA,AL GORE,40650,2
2004,IDAHO,ADA,GEORGE W. BUSH,94641,1
2004,IDAHO,ADA,JOHN KERRY,58523,2
2008,IDAHO,ADA,JOHN MCCAIN,93328,1
2008,IDAHO,ADA,BARACK OBAMA,82236,2
2012,IDAHO,ADA,MITT ROMNEY,97554,1
2012,IDAHO,ADA,BARACK OBAMA,77137,2
2016,IDAHO,ADA,DONALD TRUMP,93752,1
2016,IDAHO,ADA,HILLARY CLINTON,75677,2
2020,IDAHO,ADA,DONALD J TRUMP,130699,1
2020,IDAHO,ADA,JOSEPH R BIDEN JR,120539,2
2000,MISSOURI,ADAIR,GEORGE W. BUSH,6050,1
2000,KENTUCKY,ADAIR,GEORGE W. BUSH,5460,2
2004,MISSOURI,ADAIR,GEORGE W. BUSH,6367,1
2004,KENTUCKY,ADAIR,GEORGE W. BUSH,5628,2
2008,MISSOURI,ADAIR,JOHN MCCAIN,5891,1
2008,MISSOURI,ADAIR,BARACK OBAMA,5735,2
2012,KENTUCKY,ADAIR,MITT ROMNEY,5841,1
2012,MISSOURI,ADAIR,MITT ROMNEY,5651,2
2016,KENTUCKY,ADAIR,DONALD TRUMP,6637,1
2016,MISSOURI,ADAIR,DONALD TRUMP,6030,2
2020,KENTUCKY,ADAIR,DONALD J TRUMP,7276,1
2020,MISSOURI,ADAIR,DONALD J TRUMP,6413,2
2000,COLORADO,ADAMS,AL GORE,54132,1
2000,COLORADO,ADAMS,GEORGE W. BUSH,47561,2
2004,COLORADO,ADAMS,JOHN KERRY,69122,1
2004,COLORADO,ADAMS,GEORGE W. BUSH,65912,2
2008,COLORADO,ADAMS,BARACK OBAMA,93443,1
2008,COLORADO,ADAMS,JOHN MCCAIN,63976,2
2012,COLORADO,ADAMS,BARACK OBAMA,100649,1
2012,COLORADO,ADAMS,MITT ROMNEY,70972,2
2016,COLORADO,ADAMS,HILLARY CLINTON,96558,1
2016,COLORADO,ADAMS,DONALD TRUMP,80082,2
2020,COLORADO,ADAMS,JOSEPH R BIDEN JR,134202,1
2020,COLORADO,ADAMS,DONALD J TRUMP,95657,2
2000,VERMONT,ADDISON,AL GORE,8936,1
2000,VERMONT,ADDISON,GEORGE W. BUSH,6953,2
2004,VERMONT,ADDISON,JOHN KERRY,11147,1
2004,VERMONT,ADDISON,GEORGE W. BUSH,7077,2
2008,VERMONT,ADDISON,BARACK OBAMA,13202,1
2008,VERMONT,ADDISON,JOHN MCCAIN,5667,2
2012,VERMONT,ADDISON,BARACK OBAMA,12257,1
2012,VERMONT,ADDISON,MITT ROMNEY,5203,2
2016,VERMONT,ADDISON,HILLARY CLINTON,11219,1
2016,VERMONT,ADDISON,DONALD TRUMP,5297,2
2020,VERMONT,ADDISON,JOSEPH R BIDEN JR,15089,1
2020,VERMONT,ADDISON,DONALD J TRUMP,6567,2
2000,SOUTH CAROLINA,AIKEN,GEORGE W. BUSH,33203,1
2000,SOUTH CAROLINA,AIKEN,AL GORE,16409,2
2004,SOUTH CAROLINA,AIKEN,GEORGE W. BUSH,39077,1
2004,SOUTH CAROLINA,AIKEN,JOHN KERRY,19799,2
2008,SOUTH CAROLINA,AIKEN,JOHN MCCAIN,42849,1
2008,SOUTH CAROLINA,AIKEN,BARACK OBAMA,26101,2
2012,SOUTH CAROLINA,AIKEN,MITT ROMNEY,44042,1
2012,SOUTH CAROLINA,AIKEN,BARACK OBAMA,25322,2
2016,SOUTH CAROLINA,AIKEN,DONALD TRUMP,46025,1
2016,SOUTH CAROLINA,AIKEN,HILLARY CLINTON,25455,2
